Upload an image,Predicted Class,timestamp
flagged_data_points/Upload an image/ca18dc223aad62d8b965/images 8.jpeg,fries,2025-04-15 09:49:48.605558
flagged_data_points/Upload an image/b9b3e4f037368ba0971f/DC_202411_0035_HashBrowns_Upright_McValue_1564x1564_product-header-mobile.jpeg,big-mac,2025-04-15 17:19:12.983899
